date;value
2014-07;9407,48
2014-08;9470,17
2014-09;9474,30
2014-10;9326,87
2014-11;9980,85
2014-12;9805,55
2015-01;10694,32
2015-02;11401,66
2015-03;11966,17
2015-04;11454,38
2015-05;11413,82
2015-06;10944,97
2015-07;11308,99
2015-08;10259,46
2015-09;9660,44
2015-10;10850,14
2015-11;11382,23
2015-12;10743,01
2016-01;9798,11
2016-02;9495,40
2016-03;9965,51
2016-04;10038,97
2016-05;10262,74
2016-06;9680,09
2016-07;10337,50
2016-08;10592,69
2016-09;10511,02
2016-10;10665,01
2016-11;10640,30
2016-12;11481,06
2017-01;11535,31
2017-02;11834,41
2017-03;12312,87
2017-04;12438,01
2017-05;12615,06
2017-06;12325,12
2017-07;12118,25
2017-08;12055,84
2017-09;12828,86
2017-10;13229,57
2017-11;13023,98
2017-12;12917,64
2018-01;13189,48
2018-02;12435,85
2018-03;12096,73
2018-04;12612,11
2018-05;12604,89
2018-06;12306,00
2018-07;12805,50
2018-08;12364,06
2018-09;12246,73
2018-10;11447,51
2018-11;11257,24
2018-12;10558,96
2019-01;11173,10
2019-02;11515,64
2019-03;11526,04
2019-04;12344,08
2019-05;11726,84
2019-06;12398,80
2019-07;12189,04
2019-08;11939,28
2019-09;12428,08
2019-10;12866,79
2019-11;13236,38
2019-12;13249,01
2020-01;12981,97
2020-02;11890,35
2020-03;9935,84
2020-04;10861,64
2020-05;11586,85
2020-06;12310,93
2020-07;12313,36
2020-08;12945,38
