Tag,Deutschland,Frankreich,Spanien,USA,Italien,Russland,UK,Brasilien,Indien
110,190299,196711,245575,2280969,236305,673564,277974,1402041,604641
111,190670,196083,245938,2312302,236651,680283,278640,1448753,625544
112,191272,197352,246272,2347102,236989,686777,279264,1496858,648315
113,191768,197636,246504,2381369,237290,693215,280156,1539845,673165
114,192437,198009,246752,2422312,237500,699749,281038,1577356,697413
115,192786,198526,247086,2467837,237828,706240,281815,1603055,719664
116,193371,198607,247486,2515246,238159,712863,282512,1623284,742417
117,194036,198607,247905,2549069,238011,719449,283151,1668589,767296
118,194458,200195,248469,2590582,238275,726036,283785,1713160,793802
119,194693,200195,248770,2636538,238499,732547,284192,1755779,820916
120,195042,199476,248970,2686587,238720,738787,284812,1801725,849522
121,195758,201522,249271,2739879,238833,751612,285216,1842395,878254
122,196300,202063,249659,2749863,239410,758001,285279,1865748,906752
123,196371,202981,250103,2839455,239706,764215,285285,1884967,936181
124,196178,203640,250545,2888729,239961,770331,285787,1927455,968857
125,197198,204222,250545,2938624,240136,776212,286412,1967125,1004356
126,197523,204222,250545,2996098,240310,782040,286931,2012463,1039847
127,198064,204222,251789,3055144,240436,787892,287290,2046741,1078961
128,198343,205597,252130,3118109,240578,793721,287874,2075322,1118785
129,198699,206072,252513,3185741,240760,799499,288511,2098747,1155338
130,199001,206072,253056,3246836,240961,805332,289165,2118646,1193078
131,199332,207356,253908,3305122,241184,811073,289678,2159654,1238798
132,199709,208015,253908,3363521,241419,816680,290504,2227514,1288108
133,199919,208015,253908,3432756,241611,822060,291154,2287475,1337654
134,200180,208015,255953,3499158,241819,827509,291691,2343112,1386978
135,200456,209640,256619,3576255,241956,832993,292931,2395689,1435616
136,201288,209640,257494,3648748,242149,838461,293469,2419091,1480073
137,200890,210568,258855,3711695,242363,843892,294116,2442375,1532477
138,202045,211102,260255,3773741,242639,849277,294803,2484649,1581963
139,202426,211943,260255,3830926,242827,854641,295632,2552265,1635745
140,202735,211943,260255,3902233,243061,859762,296358,2610102,1696289
141,203325,211943,264836,3970908,243231,864948,296944,2662357,1751965
142,203717,214023,266194,4038864,243344,870187,297389,2708214,1803695
143,204276,214607,267551,4113865,243506,875378,297952,2733677,1855745
144,204881,215605,270166,4179496,243967,880563,298731,2750318,1908254
145,205623,216667,272421,4234140,244216,885718,299531,2801921,1965827
146,206278,217797,272421,4294770,244434,890799,300275,2859723,2027074
147,206667,217801,272421,4356278,244624,895691,301020,2912123,2089941
148,207112,217801,278782,4426982,244752,900745,301708,2962423,2153674
149,207707,220352,280610,4494601,245032,905762,302261,3012452,2215074
150,208546,221077,282641,4562133,245338,910778,303063,3035422,2268675
151,209535,221077,285430,4621569,245596,915808,303910,3057470,2329638
152,210399,222469,288522,4668336,245864,920719,304793,3109630,2396637
153,211005,225197,288522,4717716,246118,925558,305562,3164785,2461190
154,211225,225198,288522,4771519,246286,930276,306309,3225412,2526374
155,212111,225198,297054,4824136,246488,935066,307251,3226367,2591748
156,212828,225198,302814,4883657,246776,939833,307926,3317477,2647663
157,214113,228576,305767,4942378,247158,944671,308832,3340197,2702742
